Solar Panel Time (sec),Solar Panel Timestamp,Solar Panel Voltage,Solar Panel Current,Power Output Calculated,Solar Panel Power Output,,Telescope Timestamp Start,Telescope Timestamp End,Azimuth (deg),Altitude (deg),Gamma (deg),cos(Gamma)
215,12:29:43 PM,130,115,14.95,15,,12:29:45,12:30:45,0,61.48,0,1
220,12:29:48 PM,131,114,14.934,15,,12:31:16,12:32:16,50.4094,49.5466,30,0.8660331248
225,12:29:53 PM,131,114,14.934,15,,12:32:40,12:33:40,74.5883,26.0608,60,0.5000267465
230,12:29:58 PM,131,114,14.934,15,,12:34:01,12:35:01,90,0,90,0.00004632679488
235,12:30:03 PM,131,114,14.934,15,,12:35:22,12:36:22,105.4117,-26.0608,120,-0.4999465055
240,12:30:08 PM,131,114,14.934,15,,12:36:46,12:37:46,129.5906,-49.5466,150,-0.8659867955
245,12:30:13 PM,131,114,14.934,15,,12:38:17,12:39:17,180,-61.48,180,-0.9999999957
250,12:30:18 PM,131,114,14.934,15,,12:43:43,12:44:43,4.53,56.58,6,0.9945222182
255,12:30:23 PM,131,114,14.934,15,,12:45:12,12:46:12,50.8796,46.2889,30.5393,0.8612888175
260,12:30:28 PM,131,114,14.934,15,,12:46:36,12:47:36,76.8899,24.666,60.181,0.4972885716
265,12:30:33 PM,131,114,14.934,15,,12:47:57,12:48:57,94.53,0,90,0.00004632679488
270,12:30:38 PM,131,114,14.934,15,,12:49:18,12:50:18,112.1701,-24.666,119.819,-0.4972081846
275,12:30:43 PM,131,114,14.934,15,,12:50:42,12:51:42,138.1804,-46.2889,149.4607,-0.8612417351
280,12:30:48 PM,131,114,14.934,15,,12:52:11,12:53:11,184.53,-56.58,174,-0.9945125293
285,12:30:53 PM,131,114,14.934,15,,13:58:26,13:59:26,0,53.81,12,0.978148885
290,12:30:58 PM,131,114,14.934,15,,13:59:53,14:00:53,44.3566,44.3418,32.1023,0.8471093705
295,12:31:03 PM,131,114,14.934,15,,14:01:17,14:02:17,71.1755,23.7991,60.7203,0.4891007073
300,12:31:08 PM,131,114,14.934,15,,14:02:38,14:03:38,90,0,90,0.00004632679488
305,12:31:13 PM,131,106,13.886,14,,14:04:00,14:05:00,108.8245,-23.7991,119.2797,-0.4890198902
310,12:31:18 PM,131,106,13.886,14,,14:05:24,14:06:24,135.6434,-44.3418,147.8977,-0.847060129
315,12:31:23 PM,131,106,13.886,14,,14:06:51,14:07:51,180,-53.81,168,-0.9781296176
320,12:31:28 PM,132,106,13.992,14,,14:11:05,14:12:05,0,47.2,18,0.9510593794
325,12:31:33 PM,132,106,13.992,14,,14:12:29,14:13:29,40.356,39.4518,34.5492,0.8236495961
330,12:31:38 PM,132,106,13.992,14,,14:13:52,14:14:52,68.5811,21.5224,61.6062,0.4755569154
335,12:31:43 PM,133,105,13.965,14,,14:15:14,14:16:14,90,0,90,0.00004632679488
340,12:31:48 PM,132,106,13.992,14,,14:16:36,14:17:36,111.4189,-21.5224,118.3938,-0.4754754073
345,12:31:53 PM,132,106,13.992,14,,14:17:59,14:18:59,139.644,-39.4518,145.4508,-0.8235970488
350,12:31:58 PM,132,106,13.992,14,,14:19:23,14:20:23,180,-47.2,162,-0.9510307446
355,12:32:03 PM,132,106,13.992,14,,14:25:18,14:26:18,0,40.2,24,0.9135504823
360,12:32:08 PM,132,106,13.992,14,,14:26:39,14:27:39,37.0855,33.9855,37.7066,0.7911649557
365,12:32:13 PM,132,106,13.992,14,,14:28:02,14:29:02,66.2036,18.828,62.8209,0.4568022267
370,12:32:18 PM,132,106,13.992,14,,14:29:23,14:30:23,90,0,90,0.00004632679488
375,12:32:23 PM,132,98,12.936,13,,14:30:44,14:31:44,113.7964,-18.828,117.1791,-0.456719803
380,12:32:28 PM,132,98,12.936,13,,14:32:07,14:33:07,142.9145,-33.9855,142.2934,-0.7911082851
385,12:32:33 PM,132,90,11.88,12,,14:33:29,14:34:29,180,-40.2,156,-0.9135127938
390,12:32:38 PM,132,83,10.956,11,,,,,,,
395,12:32:43 PM,132,75,9.9,10,,,,,,,
400,12:32:48 PM,132,75,9.9,10,,,,,,,
405,12:32:53 PM,132,75,9.9,10,,,,,,,
410,12:32:58 PM,132,75,9.9,10,,,,,,,
415,12:33:03 PM,132,75,9.9,10,,,,,,,
420,12:33:08 PM,132,75,9.9,10,,,,,,,
425,12:33:13 PM,132,75,9.9,10,,,,,,,
430,12:33:18 PM,132,75,9.9,10,,,,,,,
436,12:33:24 PM,132,75,9.9,10,,,,,,,
441,12:33:29 PM,132,75,9.9,10,,,,,,,
446,12:33:34 PM,132,75,9.9,10,,,,,,,
451,12:33:39 PM,132,75,9.9,10,,,,,,,
456,12:33:44 PM,132,75,9.9,10,,,,,,,
461,12:33:49 PM,131,61,7.991,8,,,,,,,
466,12:33:54 PM,131,53,6.943,7,,,,,,,
471,12:33:59 PM,131,38,4.978,5,,,,,,,
476,12:34:04 PM,131,30,3.93,4,,,,,,,
481,12:34:09 PM,131,30,3.93,4,,,,,,,
486,12:34:14 PM,131,30,3.93,4,,,,,,,
491,12:34:19 PM,131,30,3.93,4,,,,,,,
496,12:34:24 PM,131,30,3.93,4,,,,,,,
501,12:34:29 PM,131,30,3.93,4,,,,,,,
506,12:34:34 PM,131,30,3.93,4,,,,,,,
511,12:34:39 PM,131,30,3.93,4,,,,,,,
516,12:34:44 PM,131,30,3.93,4,,,,,,,
521,12:34:49 PM,131,30,3.93,4,,,,,,,
526,12:34:54 PM,132,30,3.96,4,,,,,,,
531,12:34:59 PM,131,30,3.93,4,,,,,,,
