Day,Column 1,Column 2,Column 3
1,-26.3,-29.4,-28.1
2,-26.2,-30,-28.4
3,-27.5,-31.2,-29.3
4,-25.3,-29.2,-27.1
5,-26.4,-29.3,-28
6,-29,-30.7,-29.5
7,-28.9,-30.6,-30
8,-27.8,-30.4,-29.4
9,-29.1,-30,-29.5
10,-28.5,-29.3,-28.8
11,-28.3,-29.9,-28.9
12,-28.8,-30.8,-29.6
13,-29.7,-32,-30.5
14,-26.4,-30.7,-28.9
15,-26.4,-31.5,-29.1
16,-30.4,-31.5,-31
17,-28.8,-31.5,-29.9
18,-28.5,-29.5,-29
19,-27.9,-30,-28.8
20,-28.7,-31.8,-30.7
21,-29.9,-31.9,-31
22,-28.4,-32.7,-30.5
23,-28.8,-31.2,-29.6
24,-29,-31.2,-29.9
25,-25,-29.5,-27.6
26,-24.9,-28.9,-27.2
27,-25.6,-29.2,-26.9
28,-25.6,-28.2,-26.9
29,-28.2,-29,-28.5
30,-27.2,-30.4,-28.3
31,-25.5,-29.1,-27.2
SUM,-857,-940.6,-898.1
AVG,-27.6,-30.3,-29
