Row,Column 2,Column 3,Column 4
1,-39.9,-41.6,-40.6
2,-38.3,-40.7,-39.6
3,-37.3,-43.8,-41.3
4,-35,-39.5,-37.1
5,-39.2,-44.4,-41.5
6,-42.8,-47.2,-45.4
7,-44.3,-47.2,-45.6
8,-43.6,-47.2,-45.7
9,-43.7,-46.2,-44.7
10,-43.7,-45.2,-44.3
11,-41.6,-45.2,-43.3
12,-39.7,-41.9,-41.1
13,-37.4,-40.7,-38.6
14,-40.6,-43.3,-42.3
15,-40.7,-43,-42.1
16,-42.1,-44.2,-43.1
17,-38.8,-43.6,-41.9
18,-36.3,-39.1,-37.7
19,-35.4,-38.3,-37.3
20,-34,-36.8,-34.9
21,-32.1,-36.9,-34.3
22,-28.3,-32.1,-30.1
23,-27.7,-29.6,-28.5
24,-28.8,-32.4,-30.5
25,-31.1,-34.4,-33.1
26,-33.1,-33.9,-33.6
27,-32.1,-33.6,-32.8
28,-32.1,-33.2,-32.7
29,-29.9,-32.1,-31.4
30,-28.1,-31,-29.1
SUM,-1097.7,-1188.3,-1144.2
AVG,-36.6,-39.6,-38.1
