Day,Column 1,Column 2,Column 3
1,-24.3,-28.7,-26.7
2,-20.7,-24.3,-22.2
3,-21.5,-23.9,-22.7
4,-19.3,-22.5,-20.8
5,-21.4,-25.6,-23.9
6,-25.5,-27.6,-26.7
7,-26.2,-27.7,-26.8
8,-26.5,-27.7,-27.2
9,-27.7,-29.8,-28.4
10,-29.1,-30.4,-29.5
11,-24.8,-29.8,-27.4
12,-25.2,-27.7,-26.8
13,-27.1,-30.4,-28.6
14,-27.5,-31.6,-30.6
15,-29.8,-33.4,-31.7
16,-32.1,-33.7,-33.1
17,-30.2,-33.9,-32.1
18,-26.3,-31,-27.9
19,-26.5,-33.2,-31.4
20,-32.4,-34.7,-34
21,-28,-34.7,-31.9
22,-29.9,-32.1,-31.5
23,-28.8,-31.4,-30.2
24,-27.8,-31.8,-30.1
25,-28,-31.3,-30.4
26,-28,-32.7,-30.8
27,-32.3,-35.2,-33.2
28,-32.1,-38.3,-35.8
29,-34.1,-37.7,-35.9
30,-34.9,-39.8,-38.2
31,-38.3,-39.6,-38.9
SUM,-866.3,-972.2,-925.4
AVG,-27.9,-31.4,-29.9
