Solar Panel Time (sec),Solar Panel Timestamp,Solar Panel Voltage,Solar Panel Current,Power Output Calculated,Solar Panel Power Output,Telescope Timestamp Start,Telescope Timestamp End,Altitude (deg),Gamma (deg),cos(Gamma),Mean Power Calculated
115,12:11:01,131,106,13.886,14,12:10:57,12:11:57,60,0,1,13.89483333
120,12:11:06,131,106,13.886,14,12:12:28,12:13:28,48.5904,30,0.8660254038,12.93308333
125,12:11:11,132,106,13.992,14,12:13:52,12:14:52,25.6589,60,0.5,8.195416667
130,12:11:16,131,106,13.886,14,12:15:13,12:16:13,0,90,0,0.91
135,12:11:21,131,106,13.886,14,12:16:34,12:17:34,-25.6589,120,-0.5,
140,12:11:26,131,106,13.886,14,12:17:58,12:18:58,-48.5904,150,-0.8660254038,
145,12:11:31,131,106,13.886,14,12:19:28,12:20:28,-60,180,-1,
150,12:11:36,131,106,13.886,14,12:24:53,12:25:53,55.8,6,0.9945218954,
155,12:11:41,131,106,13.886,14,12:26:21,12:27:21,45.7476,30.5393,0.8612808299,
160,12:11:46,131,106,13.886,14,12:27:45,12:28:45,24.4274,60.181,0.4972616956,
165,12:11:51,131,106,13.886,14,12:29:06,12:30:06,0,90,0,
170,12:11:56,131,106,13.886,14,12:30:28,12:31:28,-24.4274,119.819,-0.4972616956,
175,12:12:01,132,106,13.992,14,12:31:52,12:32:52,-45.7476,149.4607,-0.8612808299,
180,12:12:06,132,106,13.992,14,12:33:20,12:34:20,-55.8,174,-0.9945218954,
185,12:12:11,132,106,13.992,14,12:39:29,12:40:29,51.4,12,0.9781476007,
190,12:12:16,132,106,13.992,14,12:40:55,12:41:55,42.5954,32.1023,0.847100589,
195,12:12:21,132,106,13.992,14,12:42:18,12:43:18,23.0018,60.7203,0.4890734453,
200,12:12:26,132,98,12.936,13,12:43:40,12:44:40,0,90,0,
205,12:12:31,132,98,12.936,13,12:45:02,12:46:02,-23.0018,119.2797,-0.4890734453,
210,12:12:36,132,98,12.936,13,12:46:25,12:47:25,-42.5954,147.8977,-0.847100589,
215,12:12:41,132,98,12.936,13,12:47:51,12:48:51,-51.4,168,-0.9781476007,
220,12:12:46,132,98,12.936,13,12:52:04,12:53:04,46.5,18,0.9510565163,
