Date,Time,Device ID,Voltage,Current,Temp,Response,,
6/26/2026,13:58:15,8,NA,NA,NA,NO RESPONSE,,
6/26/2026,14:00:30,8,3.9,0.97,38.7,OK,,3.783
6/26/2026,14:00:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:01:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:01:15,8,3.99,0.99,38.2,OK,,3.9501
6/26/2026,14:01:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:01:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:02:00,8,4,0.99,37.7,OK,,3.96
6/26/2026,14:02:15,8,2.65,0.66,37.7,OK,,1.749
6/26/2026,14:02:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:02:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:03:00,8,0.19,0.04,37,OK,,0.0076
6/26/2026,14:03:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:03:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:03:45,8,3.62,0.9,37.2,OK,,3.258
6/26/2026,14:04:00,8,3.62,0.9,36.2,OK,,3.258
6/26/2026,14:04:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:04:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:04:45,8,3.53,0.88,37.2,OK,,3.1064
6/26/2026,14:05:00,8,3.5,0.87,37,OK,,3.045
6/26/2026,14:05:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:05:30,8,3.42,0.85,36,OK,,2.907
6/26/2026,14:05:45,8,3.42,0.85,36,OK,,2.907
6/26/2026,14:06:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:06:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:06:30,8,3.31,0.82,35.7,OK,,2.7142
6/26/2026,14:06:45,8,3.27,0.81,35.5,OK,,2.6487
6/26/2026,14:07:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:07:15,8,3.26,0.81,35.5,OK,,2.6406
6/26/2026,14:07:30,8,3.23,0.8,35.2,OK,,2.584
6/26/2026,14:07:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:08:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:08:15,8,3.08,0.77,35.5,OK,,2.3716
6/26/2026,14:08:30,8,3.06,0.76,35.5,OK,,2.3256
6/26/2026,14:08:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:09:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:09:15,8,0.29,0.07,35.2,OK,,0.0203
6/26/2026,14:09:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:09:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:10:00,8,4.23,1.03,34.5,OK,,4.3569
6/26/2026,14:10:15,8,4.03,1,35.2,OK,,4.03
6/26/2026,14:10:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:10:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:11:00,8,4.1,1.02,34.7,OK,,4.182
6/26/2026,14:11:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:11:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:11:45,8,4.19,1.04,34.7,OK,,4.3576
6/26/2026,14:12:00,8,4.15,1.03,35.2,OK,,4.2745
6/26/2026,14:12:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:12:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:12:45,8,4.1,1.02,34.5,OK,,4.182
6/26/2026,14:13:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:13:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:13:30,8,4.01,1,34.2,OK,,4.01
6/26/2026,14:13:45,8,3.99,1,34.5,OK,,3.99
6/26/2026,14:14:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:14:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:14:30,8,3.97,0.99,34.7,OK,,3.9303
6/26/2026,14:14:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:15:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:15:15,8,3.95,0.98,35.5,OK,,3.871
6/26/2026,14:15:30,8,3.97,0.99,35.5,OK,,3.9303
6/26/2026,14:15:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:16:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:16:15,8,3.87,0.96,35.5,OK,,3.7152
6/26/2026,14:16:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:16:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:17:00,8,3.86,0.96,34.7,OK,,3.7056
6/26/2026,14:17:15,8,3.9,0.97,34.7,OK,,3.783
6/26/2026,14:17:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:17:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:18:00,8,4.05,1.01,35,OK,,4.0905
6/26/2026,14:18:15,8,4.07,1.01,34.7,OK,,4.1107
6/26/2026,14:18:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:18:45,8,3.98,0.99,35,OK,,3.9402
6/26/2026,14:19:00,8,3.9,0.97,35.2,OK,,3.783
